iter	RMSE
0	15.18211309
1	14.81194064
2	14.44034723
3	14.05965401
4	13.72865279
5	13.41774715
6	13.09701149
7	12.81367327
8	12.55284469
9	12.25570847
10	11.96726737
11	11.70961327
12	11.49611079
13	11.24097422
14	11.00053783
15	10.7508834
16	10.53895435
17	10.34325103
18	10.11945304
19	9.906806222
20	9.748143762
21	9.561943974
22	9.382199277
23	9.208852308
24	9.043644652
25	8.89742095
26	8.745582915
27	8.59726553
28	8.457673434
29	8.329617027
30	8.218179855
31	8.088507879
32	7.980434438
33	7.859756353
34	7.747691203
35	7.649079084
36	7.548657887
37	7.458836269
38	7.36206429
39	7.282999306
40	7.211642839
41	7.129195311
42	7.055068778
43	6.994031028
44	6.926602267
45	6.857623397
46	6.782238308
47	6.729581095
48	6.669815562
49	6.605898615
50	6.555673851
51	6.506424517
52	6.460508699
53	6.412870996
54	6.365119412
55	6.3192387
56	6.274349655
57	6.235866863
58	6.196603057
59	6.163546561
60	6.128582856
61	6.089533024
62	6.05656314
63	6.020860253
64	5.987648461
65	5.956737712
66	5.927094179
67	5.897384901
68	5.874425138
69	5.845959128
70	5.816766173
71	5.790439557
72	5.766542276
73	5.740997635
74	5.721326981
75	5.698048887
76	5.681948675
77	5.656418165
78	5.640493947
79	5.619231055
80	5.606233136
81	5.590293928
82	5.571452718
83	5.556733686
84	5.548930074
85	5.533865086
86	5.522824853
87	5.506783972
88	5.490044161
89	5.475665938
90	5.463625326
91	5.452727801
92	5.439852414
93	5.430895432
94	5.422234591
95	5.410225013
96	5.396322243
97	5.387660277
98	5.377157464
99	5.364451558
100	5.354216052
101	5.340694719
102	5.328216011
103	5.319200102
104	5.310885064
105	5.303074699
106	5.293707109
107	5.284621055
108	5.272283873
109	5.263764193
110	5.25436724
111	5.244630906
112	5.239341752
113	5.231929746
114	5.223948702
115	5.214243871
116	5.207190286
117	5.201093133
118	5.192920244
119	5.185505031
120	5.180742936
121	5.17535947
122	5.170303798
123	5.160953796
124	5.153704641
125	5.144409654
126	5.140161943
127	5.132809734
128	5.127623668
129	5.12396347
130	5.118735887
131	5.112334774
132	5.104939521
133	5.098187426
134	5.093034
135	5.085481088
136	5.081215149
137	5.072403514
138	5.065322253
139	5.06091757
140	5.058163102
141	5.053285443
142	5.052328246
143	5.045541648
144	5.04021285
145	5.036980699
146	5.032245684
147	5.025895988
148	5.02217579
149	5.021057649
150	5.017774465
151	5.014340402
152	5.005197265
153	5.000501194
154	4.995904377
155	4.987685011
156	4.981166841
157	4.972907072
158	4.97026955
159	4.965854492
160	4.960166723
161	4.95740017
162	4.954696535
163	4.948164963
164	4.939247734
165	4.932744961
166	4.92979234
167	4.924262367
168	4.919716814
169	4.913231113
170	4.910403642
171	4.904177277
172	4.899986039
173	4.893702438
174	4.888731776
175	4.882278724
176	4.878016265
177	4.874099531
178	4.866597257
179	4.863373009
180	4.859215428
181	4.853577666
182	4.848546069
183	4.843618726
184	4.840417908
185	4.835693182
186	4.830374325
187	4.826120318
188	4.821187214
189	4.817577775
190	4.809493583
191	4.804947755
192	4.799359353
193	4.793792161
194	4.79164664
195	4.790626573
196	4.788221807
197	4.785439249
198	4.782987135
199	4.778835371
200	4.772875726
201	4.769449177
202	4.764739702
203	4.758591104
204	4.752521374
205	4.74916534
206	4.746926015
207	4.743517588
208	4.736976148
209	4.73331374
210	4.72598411
211	4.724244668
212	4.718518504
213	4.713473748
214	4.707556707
215	4.698895226
216	4.693707875
217	4.689772258
218	4.685146942
219	4.681781439
220	4.67873353
221	4.67453485
222	4.669898976
223	4.666089779
224	4.663856992
225	4.655690519
226	4.652791057
227	4.650084133
228	4.645838326
229	4.642770743
230	4.639918743
231	4.636801357
232	4.634788671
233	4.628971471
234	4.626991507
235	4.622802405
236	4.619995832
237	4.614975677
238	4.612690789
239	4.611697108
240	4.609374338
241	4.606690341
242	4.603880521
243	4.600678111
244	4.597589972
245	4.593819534
246	4.590581723
247	4.588519736
248	4.587113995
249	4.583661386
250	4.576185598
251	4.574163541
252	4.569767565
253	4.565588955
254	4.558905568
255	4.55313787
256	4.551358667
257	4.547904484
258	4.544413418
259	4.540989745
260	4.535668272
261	4.531951364
262	4.524651108
263	4.519801153
264	4.517004975
265	4.514804874
266	4.512343464
267	4.506996565
268	4.502587254
269	4.499213329
270	4.494704994
271	4.489228592
272	4.484563342
273	4.482232193
274	4.478974982
275	4.475043616
276	4.473656117
277	4.469529216
278	4.463744009
279	4.46154025
280	4.456890901
281	4.453640707
282	4.448500942
283	4.444851361
284	4.436972165
285	4.429521473
286	4.424441405
287	4.419341699
288	4.416494462
289	4.412186457
290	4.41000558
291	4.406710427
292	4.406130463
293	4.403867499
294	4.399722508
295	4.393507745
296	4.386101018
297	4.380976692
298	4.376166721
299	4.371301123
300	4.370691145
301	4.364815361
302	4.36420752
303	4.362341735
304	4.357341819
305	4.350613109
306	4.34798404
307	4.344542414
308	4.339548442
309	4.337409174
