iter	Passed	Remaining
0	135	134886
1	136	68017
2	137	45715
3	139	34621
4	140	27928
5	141	23475
6	142	20246
7	143	17853
8	145	16002
9	146	14499
10	147	13277
11	148	12252
12	150	11393
13	151	10657
14	152	10022
15	154	9471
16	155	8971
17	156	8533
18	157	8145
19	159	7792
20	160	7470
21	161	7172
22	162	6910
23	164	6675
24	165	6454
25	166	6241
26	167	6043
27	168	5865
28	170	5701
29	171	5551
30	172	5404
31	174	5265
32	175	5139
33	176	5022
34	178	4911
35	179	4800
36	180	4692
37	181	4595
38	182	4507
39	184	4419
40	185	4337
41	186	4254
42	187	4180
43	189	4110
44	190	4040
45	191	3970
46	192	3904
47	193	3844
48	195	3788
49	196	3733
50	197	3677
51	198	3622
52	199	3573
53	201	3530
54	202	3487
55	204	3439
56	205	3392
57	206	3350
58	207	3309
59	208	3271
60	210	3232
61	211	3192
62	212	3157
63	213	3124
64	215	3092
65	216	3060
66	217	3025
67	218	2994
68	219	2967
69	221	2937
70	222	2910
71	223	2879
72	224	2854
73	226	2830
74	227	2803
75	228	2777
76	229	2752
77	230	2729
78	232	2709
79	233	2687
80	234	2659
81	235	2637
82	236	2615
83	238	2595
84	238	2572
85	240	2552
86	241	2533
87	242	2514
88	243	2497
89	245	2479
90	246	2461
91	247	2444
92	248	2426
93	250	2411
94	251	2394
95	252	2377
96	253	2361
97	254	2346
98	256	2332
99	257	2318
100	258	2303
101	260	2289
102	261	2276
103	262	2264
104	264	2251
105	265	2240
106	266	2226
107	268	2215
108	269	2203
109	270	2192
110	272	2180
111	273	2168
112	274	2157
113	276	2147
114	277	2136
115	278	2125
116	280	2115
117	281	2106
118	283	2097
119	284	2086
120	285	2075
121	287	2067
122	288	2058
123	290	2049
124	291	2040
125	292	2030
126	294	2021
127	295	2012
128	296	2004
129	298	1994
130	299	1986
131	300	1978
132	302	1972
133	304	1965
134	305	1957
135	307	1950
136	308	1942
137	309	1934
138	310	1925
139	312	1917
140	313	1909
141	314	1902
142	315	1891
143	317	1884
144	318	1877
145	319	1869
146	320	1861
147	322	1854
148	323	1846
149	324	1837
150	325	1831
151	326	1823
152	328	1816
153	329	1810
154	330	1804
155	332	1797
156	333	1791
157	334	1784
158	336	1778
159	337	1772
160	338	1766
161	340	1759
162	341	1752
163	342	1746
164	344	1741
165	345	1735
166	346	1728
167	347	1722
168	349	1716
169	350	1711
170	351	1705
171	353	1699
172	354	1693
173	355	1689
174	357	1683
175	358	1678
176	359	1672
177	360	1666
178	362	1661
179	363	1656
180	364	1650
181	365	1643
182	366	1638
183	368	1634
184	369	1629
185	371	1623
186	372	1617
187	373	1613
188	374	1608
189	376	1603
190	377	1597
191	378	1592
192	379	1587
193	381	1583
194	382	1579
195	383	1574
196	385	1569
197	386	1565
198	387	1560
199	388	1555
200	389	1549
201	391	1545
202	392	1541
203	393	1536
204	395	1532
205	396	1527
206	397	1522
207	398	1518
208	400	1514
209	401	1509
210	402	1504
211	403	1499
212	404	1495
213	406	1491
214	407	1486
215	408	1482
216	409	1477
217	410	1473
218	412	1469
219	413	1465
220	414	1461
221	415	1456
222	416	1452
223	418	1449
224	419	1445
225	420	1441
226	421	1436
227	423	1432
228	424	1429
229	425	1426
230	427	1421
231	428	1417
232	429	1413
233	430	1409
234	431	1405
235	432	1401
236	433	1396
237	435	1393
238	436	1389
239	437	1385
